latitude,longitude,elevation
48.00958142615855,-4.087767424061894,26.399999618530273
48.00960858352482,-4.087757952511311,26.600000381469727
48.00962811335921,-4.087756779044867,26.799999237060547
48.00968276336789,-4.087759042158723,27.399999618530273
48.00974001176655,-4.087791480123997,28.399999618530273
48.00975736230612,-4.0877968445420265,28.399999618530273
48.00985241308808,-4.087809165939689,29.600000381469727
48.009934136644006,-4.087790139019489,30.0
48.01003539003432,-4.087780164554715,30.600000381469727
48.01007704809308,-4.08777941018343,31.0
48.010139744728804,-4.087785696610808,31.799999237060547
48.010249799117446,-4.087795000523329,32.79999923706055
48.01026530563831,-4.087802125141025,33.0
48.01031157374382,-4.087799610570073,33.79999923706055
48.010344011709094,-4.08774764277041,34.0
48.01035147160292,-4.087685029953718,34.20000076293945
48.010358177125454,-4.087591487914324,34.599998474121094
48.010354824364185,-4.0874287113547325,34.79999923706055
48.0103662237525,-4.087300803512335,34.79999923706055
48.010360607877374,-4.0872405376285315,35.0
48.01035541109741,-4.087185887619853,35.0
48.010359182953835,-4.087137188762426,35.20000076293945
48.01039229147136,-4.087088489905,35.400001525878906
48.01040972582996,-4.087082287296653,35.400001525878906
48.01043327897787,-4.087085137143731,35.599998474121094
48.01049153320491,-4.0871247835457325,35.599998474121094
48.010624051094055,-4.087181109935045,36.0
48.010749192908406,-4.087249841541052,36.20000076293945
48.010766208171844,-4.087259480729699,36.400001525878906
48.01085824146867,-4.087272891774774,36.79999923706055
48.01087290979922,-4.087253278121352,36.79999923706055
48.01091004163027,-4.08715789206326,36.79999923706055
48.01097424700856,-4.086985057219863,37.0
48.01100458949804,-4.086786322295666,36.599998474121094
48.01101523451507,-4.086723122745752,36.599998474121094
48.011040380224586,-4.08656956627965,36.599998474121094
48.011058485135436,-4.0864182729274035,36.400001525878906
48.01107340492308,-4.086359096691012,36.400001525878906
48.01108463667333,-4.08616354689002,36.0
48.011090252548456,-4.086140161380172,35.79999923706055
48.011105842888355,-4.08608190715313,35.599998474121094
48.011129815131426,-4.086009906604886,35.599998474121094
48.01117851398885,-4.085934804752469,35.400001525878906
48.01118295639753,-4.085915274918079,35.20000076293945
48.01118614152074,-4.0858672466129065,35.20000076293945
48.01119695417583,-4.085799185559154,35.0
48.01119636744261,-4.085706062614918,34.79999923706055
48.0111968703568,-4.085663482546806,34.400001525878906
48.01119594834745,-4.085620231926441,34.20000076293945
48.01119410432875,-4.085557200014591,34.20000076293945
48.01119796000421,-4.08552342094481,34.0
48.011230481788516,-4.085333654657006,33.400001525878906
48.01125604659319,-4.08511882647872,33.0
48.011255292221904,-4.0850841253995895,32.79999923706055
48.011253951117396,-4.084896873682737,31.799999237060547
48.01122427918017,-4.084674334153533,31.399999618530273
48.0112174898386,-4.084518766030669,30.600000381469727
48.01121505908668,-4.084482975304127,30.600000381469727
48.011186392977834,-4.084324724972248,30.0
48.011171305552125,-4.084272924810648,29.600000381469727
48.011137526482344,-4.084179801866412,28.399999618530273
48.011129228398204,-4.084147363901138,28.0
48.01112319342792,-4.0840937197208405,27.399999618530273
48.01113140769303,-4.084017025306821,26.799999237060547
48.01113308407366,-4.083971763029695,26.200000762939453
48.011104837059975,-4.083866737782955,25.0
48.01110165193677,-4.083772609010339,24.0
